FOLIO,NOMBRE COMERCIAL,Directorio,REPRESENTANTE LEGAL,DOMICILIO,MUNICIPIO,NOMBRE(S),ENTREGA,VIGENCIA,Acerca,QUEJAS Y DENUNCIAS,FOTO
SDE/COL/REAI/045,MONTIEL INMOBILIARIA AM S.A. DE C.V.,,MAGDALENA MONTIEL SOLIS,"PASEO DE LAS GAVIOTAS 27-1, COL. SOLEARES, MANZANILLO",MANZANILLO,"SDE/COL/REAI/045-065-  MAGDALENA MONTIEL SOLIS SDE/COL/REAI/045-066 -  ARTURO AMEZCUA MONTEL SDE/COL/REAI/045-067 -  SANDRA VERÓNICA PONCE GUTIÉRREZ",29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d64902150b_045_AM_ESPACIOS.jpg
SDE/COL/REAI/046,INMOBILIARIA LUNA AZUL,,,"C. MERCURIO 188, L-3, COL. VALLE DE LAS GARZAS, MANZANILLO",MANZANILLO,SDE/COL/REAI/046-068 -  FRANCISCO MONROY PLAZOLA,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d586496240_046_LUNA_AZUL_INMOBILIARIA.jpeg
SDE/COL/REAI/047,NORT BIENES RAICES,,,"C. SAN JERÓNIMO 423, COL. CRUZ DE COMALA, VILLA DE ÁLVAREZ, COLIMA",COMALA,SDE/COL/REAI/047-071  -  NORMA ANGÉLICA TRUJILLO TRUJILLO,10/12/2024,10/12/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a05397db_047_NORT.png
"SDE/COL/REAI/048",CONSORCIO INMOBILIARIO BRADEL,,ALMA DELIA LÓPEZ MEJÍA,"ELIAS ZAMORA VERDUZCO 2047, COL. VALLE DE LAS GARZAS, MANZANILLO",MANZANILLO,SDE/COL/REAI/048-072,10/12/2024,10/12/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1fe1f38eb_048_BRADEL_INMOBILIARIA_2.jpeg
SDE/COL/REAI/049,ADY BAUTISTA REAL ESTATE,,ADRIANA ELIZABETH HERNÁNDEZ BAUTISTA,"AND. PLAYA DE MIRAMAR 43-A, COL. LAS BRISAS, MANZANILLO, COL.",MANZANILLO,SDE/COL/REAI/049-073,21/01/2025,21/01/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b2089e7901_049_ADY_BAUTISTA_1.png
SDE/COL/REAI/050,CASAS Y TERRENOS MANZANILLO,,VALENTIN CABRERA CASTILLO,"CALLE IRIS 151, COL. VALLE ALTO, SANTIAGO, MANZANILLO",MANZANILLO,SDE/COL/REAI/050-074,22/01/2025,22/01/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1fe44246f_050_CASAS_Y_TERRENOS_MANZANILLO_2.jpeg
SDE/COL/REAI/051,LIBELULA INMOBILIARIA,,YOLANDA INES GUTIÉRREZ HERMOSILLO,"LIMON 58, BARIO 3, COL. VALLE DE LAS GARZAS, MANZANILLO",MANZANILLO,SDE/COL/REAI/051-077,23/01/2024,23/01/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5dd35f29d_Logotipo_tipografico_rectangular_minimalista_blanco_y_negro.png
SDE/COL/REAI/052,GOSSY SERVICIOS FINANCIEROS E INMOBILIARIOS,,SANDRA YAZMÍN GÓMEZ SÁNCHEZ,"MOLUSCO 193, COL. LA JOYA 2, MANZANILLO",MANZANILLO,SDE/COL/REAI/052-084,27/02/2025,27/02/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5dd35f29d_Logotipo_tipografico_rectangular_minimalista_blanco_y_negro.png
SDE/COL/REAI/053,MC BIENES RAICES,,,"C. AGUSTÍN SANTACRUZ 514, COL. JARDINES VISTA HERMOSA, COLIMA",COLIMA,SDE/COL/REAI/053-085 -  MONICA MAGAÑA MENDOZA,27/2/2025,27/2/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a077bfcd_053_MC_BR.png
SDE/COL/REAI/054,PALMAZER INGENIERIA EN BIENES RAÍCES ,,,"IGNACIO SANDOVAL 1351 L-5, COL. JARDINES VISTA HERMOSA, COLIMA",COLIMA,SDE/COL/REAI/054-086  - PAOLA SUSANA RAMIÍREZ VALLEJO,,,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a09bd354_054_PALMAZER.png
